"RANK","REFEREE","ROLE","GENDER","EXPERIENCE (YEARS)","GAMES OFFICIATED","HOME TEAM WIN%","HOME TEAM POINTS DIFFERENTIAL","TOTAL POINTS PER GAME","CALLED FOULS PER GAME","FOUL% AGAINST ROAD TEAMS","FOUL% AGAINST HOME TEAMS","FOUL DIFFERENTIAL (Against Road Team) - (Against Home Team)"
"1","CJ Washington","CHIEF","MALE","9","3","1","18","234","40.3","0.521","0.48","1.7"
"2","Cheryl Flores","CHIEF","MALE","2","1","1","12","256","37","0.486","0.514","-1"
"3","Robert Hussey","CREW","MALE","3","32","0.875","9.1","231.9","37.9","0.506","0.493","0.5"
"4","Derrick Collins","CREW","MALE","24","8","0.875","3.6","231.1","39.1","0.512","0.489","0.9"
"5","Marat Kogut","CHIEF","MALE","14","6","0.833","7.2","221.2","40.7","0.512","0.487","1"
"6","Tom Washington","CHIEF","MALE","32","17","0.824","7.6","232.5","38.2","0.5","0.499","0.1"
"7","Sean Corbin","CREW","MALE","30","5","0.8","4.8","221.6","40","0.53","0.47","2.4"
"8","Josh Tiven","CREW","MALE","14","30","0.767","5.7","232.5","41.3","0.511","0.488","0.9"
"9","John Goble","CREW","MALE","16","21","0.762","5.4","229.7","38.7","0.54","0.459","3.1"
"10","Zach Zarba","CREW","MALE","20","20","0.75","6.2","231","38.6","0.49","0.509","-0.8"
"11","JB DeRosa","CREW","MALE","6","4","0.75","2.5","233.5","44","0.511","0.489","1"
"12","Jacyn Goble","CREW","MALE","7","60","0.733","5.8","230.9","40.5","0.512","0.487","1"
"13","Nick Buchert","CHIEF","MALE","14","14","0.714","5.6","229.4","39.4","0.48","0.518","-1.5"
"14","Tyler Ford","CHIEF","MALE","9","7","0.714","2","224.6","41.1","0.48","0.521","-1.7"
"15","Scott Foster","CHIEF","MALE","29","52","0.712","5.4","232.1","39.9","0.496","0.505","-0.3"
"16","Michael Smith","CHIEF","MALE","30","44","0.705","5.1","230.9","40.4","0.509","0.491","0.7"
"17","Brian Forte","CREW","MALE","17","37","0.703","4.9","227.8","39.9","0.511","0.488","0.9"
"18","Leon Wood","CREW","MALE","28","10","0.7","5.8","226.2","41.8","0.512","0.488","1"
"19","Brent Barnaky","CHIEF","MALE","14","16","0.688","6.9","227.8","37.3","0.509","0.489","0.8"
"20","Marc Davis","CREW","MALE","25","16","0.688","2.4","230.4","39.3","0.48","0.518","-1.5"
"21","Ben Taylor","CREW","MALE","12","44","0.682","5.2","228.4","40.8","0.49","0.509","-0.8"
"22","Dannica Mosher","CREW","MALE","3","31","0.677","4.9","222.1","40.5","0.503","0.499","0.2"
"23","Jamahl Ralls","CREW","MALE","2","6","0.667","9","245","46.8","0.506","0.495","0.5"
"24","Scott Wall","CREW","MALE","28","12","0.667","5.6","234.8","40.9","0.532","0.469","2.6"
"25","Danielle Scott","CREW","MALE","0","9","0.667","4.3","235.9","40.2","0.478","0.522","-1.8"
"26","Evan Scott","CREW","MALE","5","39","0.667","3.3","230.9","39.4","0.512","0.488","0.9"
"27","Scott Foster","CREW","MALE","29","3","0.667","3","227.7","41.7","0.48","0.52","-1.7"
"28","Michael Smith","CREW","MALE","30","9","0.667","1.2","229.7","42.2","0.553","0.448","4.4"
